"","x"
"1018","fancamtara why are you being like thisnanjing concert"
"1019","fancamtara day by daynanjing concert"
"1020","fancamtara sexy lovenanjing concert"
"1021","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1022","thoughts on maggi p d"
"1023","after maggi now the long trusted dettol soap too fails the quality test next what"
"1024","u r my second crush but i swear love u more than my first crushradhikainjhalak my first crush was m…"
"1025","maggi kari is my comfort food it lifts me up like a good vodka does hahaha sorry tersebut arak pulak astaghfirullah"
"1026","u r my second crush but i swear love u more than my first crushradhikainjhalak my first crush was maggi hahaha"
"1027","i want hot maggi"
"1028","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1029","a got

though maggi is banned but my love and craze for maggi will neverstop 

rewind"
"1030","rt devanshi year india bans human beingsbeefban maggiban engageinsummer"
"1031","rt foodienfabulous made a bowl of maggi noodles a pack i brought back on my last trip back home feel a bit of …"
"1032","rt ascorrespondent the last maggi the hysteria and hypocrisy of india’s noodle ban…"
"1033","rt heboyme rt screwedbystate ban midday meals now 

maggiban
india"
"1034","rt misshijabimk rt deepakpal after maggibana another product fail on indian standards merit dettol …"
"1035","asian correspondent the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles …"
"1036","while in junemedicines manufactured in aprilhave magically time traveled and maggi labeled dangerous …"
"1037","fancamday by daynanjing concert"
"1038","made a bowl of maggi noodles a pack i brought back on my last trip back home feel a bit of a daredevil <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39> maggiban"
"1039","overppl dead from desi liquor in maha but as most of effected ppl belongs to downmarket this will not create he…"
"1040","fancami don't want younanjing concert"
"1041","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1042","it seems like padosi ke ghar maggi ban rahi hai i love that smell"
"1043","falling u"
"1044","falling uuuuuu"
"1045","the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles"
"1046","holy rambbo"
"1047","a replacement for maggi"
"1048","day by day"
"1049","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1050","dost cigrette<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E63> pite hue bat kr rhe the


maggi is dangerous for health<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1051","after knowing maggi can kill peoplestill can finish one whole packet in one week
thuglife"
"1052","presenting my italian maggi with tastemaker sauce a mumbai monsoon invention foodie"
"1053","while in junemedicines manufactured in aprilhave magically time traveled and maggi labeled dangerous …"
"1054","tarawhy are you being like this 
videotarainnanjing"
"1055","my topfollowersfind yours free at"
"1056","yellow ocean 
tarainnanjing"
"1057","fancamwhy are you being like thisnanjing concert"
"1058","no one died with maggi
daru killedin mumbai 
what action"
"1059","soyeon look so hot tt tarainnanjing"
"1060","please dont let this happen to me when i want to put an egg in my maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E33>"
"1061","please dont let this happen to me when i want to put an egg in my maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E33>"
"1062","when u and ur roommates are hella lazy until u have to give each other motivation just to make some maggi"
"1063","whats the harm in ayurveda millions in india are in danger of lead poisoning"
"1064","this could be my last maggi"
"1065","me when tara sing bo peep bo peep"
"1066","sexy love amp bo peep bo peepnanjing concert"
"1067","the human side to the maggi crisis"
"1068","rt deepakpal after maggibana another product fail on indian standards merit dettol"
"1069","she is going to italy to get maggi packets for rahul baba its nt banned there"
"1070","jiyeon helps hyomin to fix the hat"
"1071","eunyeon moment amp minyeon moment"
"1072","i had a sudden crave for maggi kari and thats what i ate for buka puasa alhamdulillah"
"1073","whats the harm in ayurveda millions in india are in danger of lead poisoning"
"1074","vmex with maggieme <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E61>true shop the walk kasetnawamin"
"1075","our online term advisor tool gives answers in less thanmin amp its healthier then maggi check"
"1076","while in junemedicines manufactured in aprilhave magically time traveled and maggi labeled dangerous …"
"1077","unfortunately we only have younger brother as a thr murtabak maggi expert <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E36>"
"1078","dinner is served its maggi <U+2755><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64> yes no"
"1079","qof this ones easy you all know about maggi so play this quiz and tweet us your scorerewi…"
"1080","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1081","i wonder why im not fond to this outfit tarainnanjing"
"1082","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1083","rt ecroakermaggi effect rs cr teeth for food insubcontinent insubcontinent ind…"
"1084","rt amansnowflake maggiindia miss you maggi do come back soon let there be more led and msg i dont give a dam…"
"1085","tara during introductionstarainnanjing"
"1086","nestle and the maggi controversyhow much does it hurt the company"
"1087","maggi effect rs cr teeth for foodinsubcontinent india"
"1088","tara number"
"1089","dont fret maggi this bjp gimmic is a repeat ofcoco cola why mr modi why"
"1090","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1091","someone is cooking maggi curry damn"
"1092","feels sorry for engineers the hottest thing they could have on their bed at am was maggi"
"1093","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1094","word cloud of tweets about maggi nestle in the lasthours"
"1095","heard about the new crm startupits called maggi apparently does lead generation very well"
"1096","the thing that i sad the most i never buka puasa makan maggi now i buka maggi ok gais im crying for the hundred times"
"1097","respected siryou should promote the officer who exposed maggias after your action it was banned all over the world"
"1098","last summer was supposedly the last summer for maggi 
missumaggi engageinsummer"
"1099","couldnt agree more sir"
"1100","these saturdays without football are a bit crap"
"1101","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1102","as long as the msg in maggi isnt anything like the moviewere all good"
"1103","miss you maggi do come back soon let there be more led and msg i dont give a damn wewantmaggi maggi maggiban"
"1104","shadow"
"1105","qof this ones easy you all know about maggi so play this quiz and tweet us your scorerewi…"
"1106","maggi story always looked falling apart amp seems it is no lead amp msg not bannedrestricted govt media look silly http…"
"1107","i think maggi shud be listed nowisnt it"
"1108","it takes onlyminutes to get ready
which is far better than cooking food for an hour
maggi"
"1109","gets rejected by a girl
eats maggi
dies

slender"
"1110","behind the show tara jiyeon amp jung wook cut my shirt"
"1111","maggi u were d only dis dat i cookd when i was alone y u cheatedyaar"
"1112","as long as the msg in maggi isnt anything like the moviewere all good"
"1113","maggi noodles unsafe says india’s health ministry

see details"
"1114","maggi noodles unsafe says india’s health ministry

see details"
"1115","overppl dead from desi liquor in maha but as most of effected ppl belongs to downmarket this will not create he…"
"1116","goals<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E63>"
"1117","former maggi plant workers face grim future"
"1118","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1119","there are more things than maggi that could kill"
"1120","please dont let this happen to me when i want to put an egg in my maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E33>"
"1121","after maggi now dettol soap under the scanner click to read"
"1122","barcelona sun hitting this melanin just right <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E65> weglisteningbaby tryingnottofalloutthisboatparc…"
"1123","come on chinaban dog meat 
bastardshere we dont get to eat veg maggi noodles and there you eat dogs 
yulindogmeatfestival"
"1124","maggis investment on marketing amp advrtising is abt times more than quality control process is this d desired platform make in india"
"1125","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1126","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1127","maggi for iftar who cares"
"1128","yearsmonths<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>"
"1129","a bass guitarist had maggi for lunch 
he is now a lead guitarist wa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1130","i need money"
"1131","my topfollowersfind yours free at"
"1132","not bad <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36><U+2764>"
"1133","after maggi now htc 
delhi shop advises buyers to not purchase htc phoneset telecom"
"1134","lead is found in maggi
detergent is found in mother dairy
but corruption is yet to be found in politicians"
"1135","rt misshijabimk rt misshijabimk rt misshijabimk rt canoteven what is this maggiban what …"
"1136","word cloud of tweets about maggi nestle in the lasthours"
"1137","overppl dead from desi liquor in maha but as most of effected ppl belongs to downmarket this will not create he…"
"1138","make in india website is developed in chinalmao maggi effect maunmodi t news"
"1139","g death from liquor in mumbaiindiaalcohol nt bannedno death from maggi maggi banned"
"1140","how nestle got themselves in a huge “noodle”…marketing nestle branding"
"1141","how nestle got themselves in a huge “noodle”…marketing nestle branding"
"1142","thai queens r u readya
tarainnanjing"
"1143","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1144","lead in maggi noodles can cause cardiovascular disease and bp problems says a reputed us magazine 
maggi fakefoods heal…"
"1145","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1146","bibim maggi yesterday cheese maggi today wheee <U+2661>"
"1147","people died in mumbaihooch tragedy
everywhere adulteration and corruption whether food or medicine maggi is pean…"
"1148","after maggi now dettol soap under the scanner click to read"
"1149","yoshi park for just hr more onretweet for chance at free tee"
"1150","im ok for just hr more onretweet for chance at free tee"
"1151","maggi is the beat"
"1152","many states including up find maggi leadfree hong kong okays it too"
"1153","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1154","youre embarrassing yourself<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36>"
"1155","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1156","lead in maggi
detergent in mother dairy 
and none of us have any super powers or interesting mutations yet this sucks"
"1157","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1158","maggi effect rs cr teeth for food regulatorreports"
"1159","overppl dead from desi liquor in maha but as most of effected ppl belongs to downmarket this will not create he…"
"1160","nose pierced again finally<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63>"
"1161","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1162","when u and ur roommates are hella lazy until u have to give each other motivation just to make some maggi"
"1163","what does the maggi controversy teach us about junk food"
"1164","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha …"
"1165","rt for maggi
fav for yipee
pk on sony tomorrow"
"1166","rt for maggi
fav for yipee
pk on sony tomorrow"
"1167","rt misshijabimk rt anujasaw getting the lead out maggiban india…"
"1168","my dw danielweelington watches moodoftheday"
"1169","meanwhile malinga 
two mins after the maggi ban
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"1170","why the maggi noodle recall has landed nestle in hot watermarketing feedly"
"1171","word cloud of tweets about maggi nestle in the lasthours"
"1172","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1173","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1174","at the age ofcolonel sanders decided to turn his delicious chicken into a business he receivednos http…"
"1175","after maggi noodles dettol soap fails lab test declared substandard"
"1176","tonnes of maggi to be destroyed by nestle india there’s no more sales of maggi in the country so the"
"1177","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1178","fans are giving a hand banner amp light stick eachwaiting for yellow ocean latercr…"
"1179","how to cook chicken and pork adobo by chef sandy dazamaggi magic sarapnestl phcooking"
"1180","years staying in hostel with that experience i know so well abt my maggi"
"1181","overppl dead from desi liquor in maha but as most of effected ppl belongs to downmarket this will not create he…"
"1182","wehhhhh u don wan to miss my maggi cs im a good maggi maker luls secret recipe"
"1183","rt anujasaw getting the lead out maggiban india"
"1184","rt misshijabimk rt canoteven what is this maggiban what"
"1185","aftr selling maggi amp panmasala bolly celebs r practising yogapretending that theyve been practising yoga since ages"
"1186","side effects of maggi
athi vrusthi anaa vrusthi type"
"1187","u actually know how many kgs ar because of maggi i carry"
"1188","whats your favorite midnight snack — used to be magginow i diet v huehuehue"
"1189","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1190","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1191","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1192","maggi effect rs cr teeth for food insubcontinent"
"1193","rt gocookingvideos how to cook chicken and pork adobo by chef sandy dazamaggi magic sarapnestl ph   cooking"
"1194","moms stocked up he pantry withpacks of maggi woohoohappydaysmaking one now"
"1195","how to cook chicken and pork adobo by chef sandy dazamaggi magic sarapnestl phcooking"
"1196","nestle wants you to return unopened packs of maggi read more at"
"1197","how the up fda modi govt are making me healthier by banning maggi noodles"
"1198","okayy"
"1199","i need me an african guy who can really dance

says a girl who cant properly sprinkle maggi in a pot of soup"
"1200","tarachina preparedsticks ampbanner for queens in every seat"
"1201","fans are already starting to enter for tara nanjing concert 
cr tarabar amp s"
"1202","how to cook chicken and pork adobo by chef sandy dazamaggi magic sarapnestl phcooking"
"1203","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1204","rt canoteven what is this maggiban what"
"1205","blow to people who washed their hands with dettol soap after eating lead waali maggi"
"1206","does anyone else sit in the car for like min when they get home"
"1207","and sanghis are insisting to ban maggi

height of stupidity"
"1208","why the maggi noodle recall has landed nestle in hot water"
"1209","feels sorry for engineers the hottest thing they could have on their bed at am was maggi"
"1210","maggi dettolsoapeverything failing lab test i think better test the lab once"
"1211","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1212","while in junemedicines manufactured in aprilhave magically time traveled and maggi labeled dangerous …"
"1213","and sanghis are insisting to ban maggi

height of stupidity"
"1214","after the meri maggi issue now dettol soap under the scanner after the brand fails lab tests soap found to be"
"1215","after maggi ban out of job contract worker at nestle india plant hangs himself…"
"1216","after the meri maggi issue now
dettol soap under the scanner
after the brand fails lab tests
soap found to be substan…"
"1217","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1218","a mountain of noodles these numbers show the unbelievable scale of nestlés recall in indiaht…"
"1219","the great maggi recall by the numbers the packets weigh more than all the gold in india"
"1220","it would take more thanyears to walk off the calories in the maggi noodles recalled by nestle in india …"
"1221","and sanghis are insisting to ban maggi

height of stupidity"
"1222","and sanghis are insisting to ban maggi

height of stupidity"
"1223","brand obituarymaggi"
"1224","nestle ropes in us lobbyist apcoworldwide to tone down maggi backlash"
"1225","dont eat maggi or any type of maggi berulang kali your stomach needsday to clean the wax"
"1226","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1227","and sanghis are insisting to ban maggi

height of stupidity"
"1228","i have a joke on maggi but its leading ahead"
"1229","another fmcg productwhat is the future of my shares"
"1230","and sanghis are insisting to ban maggi

height of stupidity"
"1231","the summersolstice is a perfect opportunity to eat alfresco try our lamb sosaties bbq"
"1232","i smell my favorite maggi"
"1233","icsm mario maggi sexual function should be assessed in all men with hyperthyroidism"
"1234","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1235","i thought you had <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E37> cause you posted on instagram haha omg how can you mix maggi and tuna <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E37> goodluck <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E39> haha"
"1236","after maggi now revital capsules banned in uttar pradesh"
"1237","mario maggi the role of estradiol in erection function is appealing but controversial icsm"
"1238","you thought maggi was bad well usa has banned indian brand haldirams for having pesticide in high levels …"
"1239","thanks allah for maggiban 

its not a muslim friendly food i always struggled to eat maggi properly …"
"1240","in the immortal words of a college friend maggi meri bae hai <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"1241","use mother dairy to wash clothes
maggi to make my pencils
and haldirams to get us visa"
"1242","maggi effect rs cr teeth for food regulator fssai
…"
"1243","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1244","mario maggi prolactine levels should be evaluated in all men complaining of reduced sexual desire
icsm"
"1245","dont eat maggi or any type of maggi berulang kali your stomach needsday to clean the wax"
"1246","after maggi now revital capsules banned in uttar pradesh"
"1247","you never know whats hiding in the longish summer grass"
"1248","either that or maggi cup"
"1249","hay meadows"
"1250","word cloud of tweets about maggi nestle in the lasthours"
"1251","yes i got home last night no disruption on that route yesterday altho this weather makes me wonder why we live here…"
"1252","ikr i want spaghetti i want maggi so delicious"
"1253","smile"
"1254","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1255","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1256","long lasting effects of having survived on maggi over prolonged spans of time"
"1257","after maggi now dettol soap under the scanner click to read"
"1258","maggi was originally made in china and rest is history
ripmaggie"
"1259","stop your maggi let go out and eat"
"1260","a bass guitarist had maggi for lunch 
he is now a lead guitarist wa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1261","make in india website is developed in chinalmao maggi effect maunmodi t news"
"1262","we lost shaktiman 
we lost maggi 
we lost cartoon network to cn 

we lost every childhood memories"
"1263","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1264","having maggi and teasing my rozdaar family they have officially declared me shaitan"
"1265","hi pey adobo sounds good right now why dont you try our recipelet us know what you think"
"1266","eaten lead wali maggi

rohtangpass 

few days ago"
"1267","its not just the drivers who are haring around the spielberg track today fp austriangp"
"1268","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1269","yetunde please openmaggi was not what i wanted to hear first thing in the morning ifyouknowyouknow"
"1270","a bass guitarist had maggi for lunch 
he is now a lead guitarist wa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1271","a bass guitarist had maggi for lunch he is now a lead guitarist"
"1272","a bass guitarist had maggi for lunch 
he is now a lead guitarist wa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1273","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1274","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1275","the weight of all the maggi packets nestle is destroying is heavier than the weight of all the gold in india …"
"1276","all of nestles maggi noodles recalled in india could stretch to the moon and backtimes really …"
"1277","how the up fda modi govt are making me healthier by banning maggi noodlesbusiness standard on the beat"
"1278","after maggi row dead worms found in complan pack in lucknow"
"1279","hilarious how the up fdamodi govt are making me healthier by banning maggi noodlesbusiness standard on the beat"
"1280","im so health conscious i havent had maggi since a month"
"1281","rt narad rt suckeena thanks allah for maggiban 

its not a muslim friendly food i always struggled to eat …"
"1282","rt ksatidass haryanawithrg ravindra maunmodi maggiban was to promote patanjali and fund rss goons again…"
"1283","the human side to the maggi crisis"
"1284","sending a legal notice to madhuri for endorsing maggi is like blaming a farmer who grew potatoes because you farted after ea…"
"1285","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1286","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1287","tweep followed thank you and nobody unfollowed me in the past day thank you"
"1288","hahahaa bass guitarist had maggi for lunch he is now a lead guitarist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64>"
"1289","after maggi now dettol soap under the scanner click to read"
"1290","aftermaggi nowdettol found substandard these cos hv made india the dumping ground boycott them htt…"
"1291","and sanghis are insisting to ban maggi

height of stupidity"
"1292","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1293","meanwhile malinga 
two mins after the maggi ban
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"1294","thanks allah for maggiban 

its not a muslim friendly food i always struggled to eat maggi properly …"
"1295","qof this ones easy you all know about maggi so play this quiz and tweet us your scorerewi…"
"1296","and sanghis are insisting to ban maggi

height of stupidity"
"1297","cant afford frieda pinto sign shilpa shetty cant find maggi on the hills get wai wai"
"1298","make in india website is developed in chinalmao maggi effect maunmodi t news"
"1299","that depends if that maggi is by ramdev baba <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1300","maggi is safer than hooch"
"1301","i have a joke on maggi but its banned"
"1302","dont eat maggi or any type of maggi berulang kali your stomach needsday to clean the wax"
"1303","is this really a maggi effect thats why our pm is maunmodi"
"1304","if any one need maggirs ro rs wali message mei am selling in black"
"1305","it might but the relationship between brand and its customers is damaged for good a slow death is imminent"
"1306","you thought maggi was bad well usa has banned indian brand haldirams for having pesticide in high levels"
"1307","interview elaine c smith on new theatre show torch song divasim going this evening"
"1308","i liked avideorest in peace maggi"
"1309","people died in mumbaihooch tragedy
everywhere adulteration and corruption whether food or medicine maggi is peanut"
"1310","okay so you eat maggi everydayis that what you talking about<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1311","how the up fda modi govt are making me healthier by banning maggi noodles"
"1312","maggis journey inminutes on your front burner infograph maggi noodles"
"1313","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1314","maggis journey inminutes on your front burner infograph maggi noodles"
"1315","after maggi row dead worms found in complan pack in lucknow"
"1316","maggi story always looked falling apart amp seems it is no lead amp msg not bannedrestricted govt media look silly http…"
"1317","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1318","treated maggi mee what dont be greedy"
"1319","dont eat maggi or any type of maggi berulang kali your stomach needsday to clean the wax"
"1320","your reaction is very peculiar heres my take on it hope you find it insightful"
"1321","i cannot <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"1322","not just maggi more thanother products are rejected by fssai"
"1323","high key thats aiding and abettingbut watch aint gon be no charges bihhhh"
"1324","so basically yall sat there for half a year chillin watching him plan to killpeople"
"1325","ok so i find it odd that nobody is questioning why roofs roommates didnt go to the police when they knew he was planning formonths"
"1326","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"1327","how the up fda modi govt are making me healthier by banning maggi noodles"
